Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,0%,BAU,"5,870,000 (5,860,000 to 5,870,000)","11,600,000 (11,600,000 to 11,600,000)","5,760,000 (5,750,000 to 5,770,000)","27,100,000 (27,000,000 to 27,100,000)"
False,0%,Australia mandatory,85 (60 to 121),358 (250 to 509),272 (188 to 389),"1,660 (1,140 to 2,370)"
False,0%,Australia 90%,76 (53 to 109),321 (222 to 460),245 (169 to 349),"1,490 (1,030 to 2,140)"
False,0%,Australia 70%,59 (41 to 85),250 (172 to 357),191 (131 to 271),"1,170 (798 to 1,650)"
False,0%,Australia 50%,42 (30 to 60),179 (125 to 255),137 (95 to 195),"833 (576 to 1,190)"
False,0%,Aus then UK mandatory,125 (90 to 173),683 (482 to 963),558 (390 to 787),"3,480 (2,410 to 4,990)"
False,0%,Aus then UK 90%,113 (82 to 156),616 (435 to 870),502 (354 to 717),"3,140 (2,200 to 4,540)"
False,0%,Aus then UK 70%,88 (63 to 122),479 (340 to 679),391 (275 to 557),"2,450 (1,710 to 3,490)"
False,0%,Aus then UK 50%,63 (46 to 86),343 (244 to 483),279 (197 to 398),"1,750 (1,220 to 2,490)"
False,0%,KCl subsitute (30%) envelope,"1,090 (761 to 1,520)","3,650 (2,490 to 5,100)","2,540 (1,730 to 3,570)","15,100 (10,200 to 21,100)"
False,0%,KCl subsitute (10%) all foods,58 (40 to 82),619 (434 to 875),562 (394 to 793),"4,450 (3,060 to 6,370)"
False,0%,KCl subsitute (4.5%) discretionary,94 (67 to 136),470 (331 to 677),376 (263 to 545),"2,330 (1,610 to 3,390)"
False,0%,UK mandatory,186 (129 to 266),"782 (548 to 1,130)",597 (417 to 862),"3,600 (2,500 to 5,200)"
False,0%,UK 90%,167 (116 to 237),"706 (492 to 1,010)",539 (375 to 768),"3,240 (2,250 to 4,660)"
False,0%,UK 70%,131 (90 to 183),550 (383 to 784),420 (292 to 600),"2,530 (1,750 to 3,610)"
False,0%,UK 50%,93 (65 to 134),395 (274 to 564),301 (208 to 430),"1,810 (1,250 to 2,610)"
False,0%,UK mass media campaign,12 (6.3 to 23),36 (18 to 65),23 (11 to 42),46 (22 to 84)
False,0%,UK salt reduction program,56 (39 to 78),234 (163 to 330),178 (124 to 252),"1,110 (763 to 1,570)"
False,0%,Who mandatory,316 (219 to 440),"1,350 (929 to 1,880)","1,030 (710 to 1,440)","6,280 (4,250 to 8,810)"
False,0%,No change,0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0)
False,3%,BAU,"4,410,000 (4,400,000 to 4,420,000)","7,610,000 (7,590,000 to 7,620,000)","3,200,000 (3,190,000 to 3,200,000)","14,400,000 (14,400,000 to 14,500,000)"
False,3%,Australia mandatory,59 (42 to 85),209 (146 to 297),149 (103 to 213),573 (397 to 819)
False,3%,Australia 90%,53 (37 to 76),187 (130 to 268),134 (93 to 191),516 (356 to 739)
False,3%,Australia 70%,41 (29 to 59),146 (101 to 208),104 (72 to 148),403 (274 to 570)
False,3%,Australia 50%,30 (21 to 42),104 (73 to 148),75 (52 to 107),288 (199 to 411)
False,3%,Aus then UK mandatory,86 (63 to 119),391 (276 to 552),305 (213 to 430),"1,180 (820 to 1,680)"
False,3%,Aus then UK 90%,78 (56 to 108),353 (250 to 496),274 (194 to 391),"1,060 (742 to 1,510)"
False,3%,Aus then UK 70%,61 (44 to 84),274 (195 to 387),214 (150 to 304),"825 (578 to 1,170)"
False,3%,Aus then UK 50%,44 (31 to 60),197 (140 to 275),153 (108 to 217),590 (414 to 836)
False,3%,KCl subsitute (30%) envelope,"781 (544 to 1,090)","2,180 (1,490 to 3,050)","1,400 (951 to 1,960)","5,390 (3,680 to 7,560)"
False,3%,KCl subsitute (10%) all foods,39 (28 to 56),341 (239 to 482),302 (212 to 427),"1,400 (963 to 2,010)"
False,3%,KCl subsitute (4.5%) discretionary,65 (46 to 94),270 (191 to 390),206 (144 to 298),"793 (548 to 1,150)"
False,3%,UK mandatory,130 (90 to 186),457 (320 to 655),327 (228 to 473),"1,250 (862 to 1,800)"
False,3%,UK 90%,117 (81 to 165),412 (286 to 588),295 (205 to 420),"1,120 (778 to 1,610)"
False,3%,UK 70%,91 (63 to 128),321 (223 to 457),230 (160 to 329),"875 (604 to 1,250)"
False,3%,UK 50%,65 (46 to 94),231 (160 to 329),165 (114 to 236),627 (433 to 902)
False,3%,UK mass media campaign,8.7 (4.4 to 16),22 (11 to 40),13 (6.4 to 24),26 (13 to 47)
False,3%,UK salt reduction program,40 (28 to 56),137 (96 to 193),98 (68 to 138),386 (265 to 545)
False,3%,Who mandatory,221 (153 to 308),"784 (543 to 1,090)",564 (389 to 791),"2,170 (1,470 to 3,050)"
False,3%,No change,0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0)
True,0%,BAU,5865407.39786529,11628906.208497413,5763498.810632125,27092410.50668804
True,0%,Australia mandatory,84.9643257370354,357.60734334632565,271.885362893004,1657.1897027120388
True,0%,Australia 90%,76.41640715287178,320.9929868153531,244.72706146785248,1492.5441500623929
True,0%,Australia 70%,59.235578874009306,250.23407565801745,190.7315375867599,1166.2117366207497
True,0%,Australia 50%,42.330522838255405,178.93618960513408,136.57450046739692,832.6683527392952
True,0%,Aus then UK mandatory,124.93487368741243,682.5206219617521,557.6745297810866,3481.770837869989
True,0%,Aus then UK 90%,112.89850781296914,615.5022832499835,501.5735448821749,3136.9629892955654
True,0%,Aus then UK 70%,88.05143644167727,478.6860480242329,390.8473869039663,2448.4913013267287
True,0%,Aus then UK 50%,62.944557274536606,343.27254996862825,279.4493210987814,1748.2357137530548
True,0%,KCl subsitute (30%) envelope,1093.6801340218744,3646.755364391333,2542.0910519530685,15059.773038905065
True,0%,KCl subsitute (10%) all foods,57.48305127820635,618.7273404733227,561.8152812131805,4445.838941011632
True,0%,KCl subsitute (4.5%) discretionary,94.18398814234394,469.6637500256815,376.0192237286237,2328.619647718456
True,0%,UK mandatory,185.9115597860143,782.2895114168072,597.2404287894481,3602.055228571161
True,0%,UK 90%,167.0310562499459,705.9189798804853,538.5452771215785,3235.4923852264046
True,0%,UK 70%,130.5423680156492,550.2489987379427,419.7742416935337,2529.4001148607163
