Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,0%,Aus then UK 50%,141 (86.8 to 216),2.24 (-8.19 to 13.4),9.95 (0.188 to 21.3),14.5 (7.09 to 21.6)
False,0%,Aus then UK 70%,83.8 (46.0 to 137),-4.34 (-14.7 to 6.78),2.71 (-7.10 to 13.3),14.2 (6.65 to 21.3)
False,0%,Aus then UK 90%,52.5 (21.4 to 92.4),-7.95 (-18.4 to 2.70),-1.41 (-11.1 to 8.69),14.0 (6.33 to 21.1)
False,0%,Aus then UK mandatory,42.1 (12.6 to 78.4),-9.20 (-20.0 to 1.50),-2.81 (-12.6 to 7.14),13.9 (6.34 to 21.0)
False,0%,Australia 50%,236 (118 to 433),23.4 (4.24 to 51.8),36.7 (15.5 to 70.5),15.2 (8.07 to 22.3)
False,0%,Australia 70%,155 (70.1 to 289),11.3 (-4.49 to 30.9),22.4 (5.75 to 46.7),14.4 (6.98 to 21.4)
False,0%,Australia 90%,108 (43.3 to 214),4.25 (-9.70 to 20.5),14.2 (0.0713 to 32.7),14.0 (6.51 to 20.9)
False,0%,Australia mandatory,92.5 (33.8 to 188),1.77 (-11.5 to 17.0),11.4 (-2.03 to 28.5),13.8 (6.36 to 20.8)
False,0%,BAU,11.0 (10.7 to 11.5),12.3 (11.8 to 12.8),13.6 (13.1 to 14.2),17.5 (16.7 to 18.5)
False,0%,KCl subsitute (10%) all foods,119 (13.8 to 364),-14.4 (-29.6 to 2.82),-10.7 (-25.5 to 6.63),13.1 (5.34 to 20.0)
False,0%,KCl subsitute (30%) envelope,-44.9 (-58.7 to -32.9),-19.7 (-30.6 to -10.1),-13.1 (-23.2 to -4.18),11.6 (3.99 to 18.5)
False,0%,KCl subsitute (4.5%) discretionary,51.9 (-10.3 to 193),-6.81 (-20.4 to 12.2),0.647 (-12.9 to 21.3),13.2 (5.57 to 20.3)
False,0%,No change,0.00 (0.00 to 0.00),0.00 (0.00 to 0.00),0.00 (0.00 to 0.00),0.00 (0.00 to 0.00)
False,0%,UK 50%,75.2 (24.5 to 157),0.718 (-11.8 to 14.7),9.65 (-2.70 to 25.2),14.4 (6.77 to 21.3)
