Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,0%,Aus then UK 50%,-494 (-806 to -304),"-2,290 (-3,710 to -1,420)","-1,800 (-2,890 to -1,110)",0.0000000000182 (-0.000000000660 to 0.000000000682)
False,0%,Aus then UK 70%,"-690 (-1,130 to -427)","-3,210 (-5,150 to -1,960)","-2,520 (-4,050 to -1,540)",0.00000000000500 (-0.000000000640 to 0.000000000669)
False,0%,Aus then UK 90%,"-882 (-1,460 to -541)","-4,120 (-6,590 to -2,560)","-3,230 (-5,180 to -2,000)",0.00000000000523 (-0.000000000651 to 0.000000000666)
False,0%,Aus then UK mandatory,"-981 (-1,610 to -595)","-4,570 (-7,330 to -2,830)","-3,570 (-5,720 to -2,220)",0.0000000000133 (-0.000000000643 to 0.000000000710)
False,0%,Australia 50%,-296 (-476 to -184),"-1,080 (-1,710 to -676)","-788 (-1,230 to -494)",-0.00000000000564 (-0.000000000700 to 0.000000000655)
False,0%,Australia 70%,-412 (-665 to -251),"-1,510 (-2,380 to -942)","-1,100 (-1,710 to -690)",0.00000000000375 (-0.000000000621 to 0.000000000676)
False,0%,Australia 90%,-528 (-864 to -324),"-1,940 (-3,070 to -1,210)","-1,410 (-2,230 to -885)",0.0000000000173 (-0.000000000632 to 0.000000000677)
False,0%,Australia mandatory,-589 (-949 to -362),"-2,160 (-3,400 to -1,360)","-1,570 (-2,450 to -994)",0.00000000000819 (-0.000000000669 to 0.000000000679)
False,0%,BAU,"1,650,000 (1,550,000 to 1,760,000)","3,840,000 (3,650,000 to 4,030,000)","2,190,000 (2,110,000 to 2,270,000)","25,700,000 (25,700,000 to 25,700,000)"
False,0%,KCl subsitute (10%) all foods,-449 (-730 to -274),"-4,140 (-6,460 to -2,540)","-3,690 (-5,760 to -2,270)",0.0000000000152 (-0.000000000627 to 0.000000000676)
